id,y_true,y_pred,absolute_error
1736256009,182.0,139.11094848513832,42.88905151486168
1736256019,98.0,79.93929115905644,18.060708840943562
1736256029,155.0,157.9351671894437,2.935167189443689
1736256039,179.0,115.06927393282328,63.93072606717672
1736256049,69.0,95.10043703986781,26.100437039867813
1736256059,144.0,182.84144086141268,38.84144086141268
1736256069,69.0,111.54550875990512,42.54550875990512
1736256079,200.0,144.42650416308084,55.573495836919165
1736256089,292.0,200.65977198521878,91.34022801478122
1736256099,258.0,170.67285698732016,87.32714301267984
1736256109,104.0,38.09508863254196,65.90491136745804
1736256119,230.0,139.54441925319114,90.45558074680886
1736256129,65.0,53.72923884480225,11.270761155197746
1736256139,49.0,131.0928574592228,82.09285745922281
1736256149,64.0,119.48384406500097,55.483844065000966
1736256159,215.0,245.15893112913434,30.158931129134345
1736256169,274.0,245.47097829800748,28.52902170199252
1736256180,292.0,195.91816334725578,96.08183665274422
1736256190,118.0,103.07811228303234,14.92188771696766
1736256200,101.0,97.25250430863413,3.74749569136587
1736256210,281.0,283.6355672939131,2.635567293913084
1736256220,128.0,168.2136323571602,40.21363235716021
1736256230,151.0,165.84427759702953,14.844277597029532
1736256240,103.0,141.6961149420415,38.696114942041504
1736256250,210.0,151.99864316366757,58.001356836332434
1736256260,104.0,101.05531243166942,2.944687568330579
1736256270,264.0,244.30072899532888,19.699271004671118
1736256280,129.0,190.14593543639543,61.14593543639543
1736256290,190.0,173.25293019933895,16.747069800661052
1736256300,77.0,172.85465073967254,95.85465073967254
1736256310,160.0,114.83926457785545,45.160735422144555
1736256320,214.0,133.615306319189,80.38469368081101
1736256330,99.0,57.49360930033755,41.50639069966245
1736256340,252.0,153.68650947308407,98.31349052691593
1736256350,202.0,212.28737912830763,10.287379128307634
1736256360,202.0,142.3109206622482,59.68907933775179
1736256370,77.0,172.85465073967254,95.85465073967254
1736256380,162.0,125.04342485444745,36.95657514555255
1736256390,184.0,165.48778814485598,18.512211855144017
1736256400,125.0,101.83547601327305,23.164523986726948
1736256410,91.0,153.63331639514493,62.63331639514493
1736256420,31.0,97.79557804124121,66.79557804124121
1736256430,96.0,85.25929885962952,10.740701140370476
1736256441,214.0,133.615306319189,80.38469368081101
1736256451,253.0,122.05953122619384,130.94046877380617
1736256461,164.0,182.64669448014072,18.646694480140724
1736256471,200.0,144.42650416308084,55.573495836919165
1736256481,158.0,69.8431832468639,88.1568167531361
1736256491,111.0,106.90170583652417,4.098294163475828
1736256501,346.0,268.4529317304527,77.54706826954731
1736256511,167.0,184.0685612435638,17.068561243563806
1736256521,220.0,262.6854747166499,42.68547471664988
1736256531,91.0,180.67218665367162,89.67218665367162
1736256541,69.0,95.10043703986781,26.100437039867813
1736256551,163.0,213.9229523462673,50.922952346267294
1736256561,131.0,129.05329822369725,1.9467017763027457
